drips=1 water was=1 now=21, filled was 0 now=0
drips=57 water was=109 now=133, filled was 441 now=441
drips=58 water was=133 now=135, filled was 441 now=441
drips=59 water was=135 now=146, filled was 441 now=441
drips=60 water was=146 now=144, filled was 441 now=458
drips=61 water was=144 now=142, filled was 458 now=475
drips=62 water was=142 now=140, filled was 475 now=483
drips=63 water was=140 now=138, filled was 483 now=491
drips=64 water was=138 now=139, filled was 491 now=498
drips=65 water was=139 now=143, filled was 498 now=505
drips=66 water was=143 now=141, filled was 505 now=518
drips=67 water was=141 now=146, filled was 518 now=524
drips=68 water was=146 now=145, filled was 524 now=530
drips=69 water was=145 now=144, filled was 530 now=536
drips=70 water was=144 now=143, filled was 536 now=542
drips=71 water was=143 now=132, filled was 542 now=558
drips=72 water was=132 now=131, filled was 558 now=574
drips=73 water was=131 now=130, filled was 574 now=590
drips=74 water was=130 now=129, filled was 590 now=606
drips=75 water was=129 now=128, filled was 606 now=622
drips=76 water was=128 now=127, filled was 622 now=638
drips=77 water was=127 now=146, filled was 638 now=638
drips=78 water was=146 now=225, filled was 638 now=638
drips=79 water was=225 now=223, filled was 638 now=701
drips=80 water was=223 now=221, filled was 701 now=764
drips=81 water was=221 now=219, filled was 764 now=827
drips=82 water was=219 now=217, filled was 827 now=848
drips=83 water was=217 now=215, filled was 848 now=869
drips=84 water was=215 now=213, filled was 869 now=890
drips=85 water was=213 now=211, filled was 890 now=911
drips=86 water was=211 now=209, filled was 911 now=932
drips=87 water was=209 now=221, filled was 932 now=941
drips=88 water was=221 now=224, filled was 941 now=950
drips=89 water was=224 now=233, filled was 950 now=975
drips=90 water was=233 now=255, filled was 975 now=1000
drips=91 water was=255 now=253, filled was 1000 now=1025
drips=92 water was=253 now=251, filled was 1025 now=1050
drips=93 water was=251 now=276, filled was 1050 now=1050
drips=94 water was=276 now=281, filled was 1050 now=1050
drips=95 water was=281 now=280, filled was 1050 now=1057
drips=96 water was=280 now=279, filled was 1057 now=1064
drips=97 water was=279 now=278, filled was 1064 now=1071
drips=98 water was=278 now=277, filled was 1071 now=1078
drips=99 water was=277 now=276, filled was 1078 now=1085
drips=100 water was=276 now=236, filled was 1085 now=1131
drips=101 water was=236 now=234, filled was 1131 now=1177
drips=102 water was=234 now=232, filled was 1177 now=1223
drips=103 water was=232 now=230, filled was 1223 now=1269
drips=104 water was=230 now=278, filled was 1269 now=1269
drips=105 water was=278 now=362, filled was 1269 now=1269
drips=106 water was=362 now=360, filled was 1269 now=1348
drips=107 water was=360 now=358, filled was 1348 now=1427
drips=108 water was=358 now=356, filled was 1427 now=1506
drips=109 water was=356 now=354, filled was 1506 now=1565
drips=110 water was=354 now=352, filled was 1565 now=1613
drips=111 water was=352 now=350, filled was 1613 now=1661
drips=112 water was=350 now=348, filled was 1661 now=1709
drips=113 water was=348 now=346, filled was 1709 now=1757
drips=114 water was=346 now=402, filled was 1757 now=1757
drips=115 water was=402 now=411, filled was 1757 now=1757
drips=116 water was=411 now=409, filled was 1757 now=1780
drips=117 water was=409 now=407, filled was 1780 now=1803
drips=118 water was=407 now=405, filled was 1803 now=1826
drips=119 water was=405 now=403, filled was 1826 now=1849
drips=120 water was=403 now=388, filled was 1849 now=1885
drips=121 water was=388 now=343, filled was 1885 now=1964
drips=122 water was=343 now=341, filled was 1964 now=2043
drips=123 water was=341 now=400, filled was 2043 now=2063
drips=124 water was=400 now=455, filled was 2063 now=2063
drips=125 water was=455 now=475, filled was 2063 now=2079
drips=126 water was=475 now=474, filled was 2079 now=2095
drips=127 water was=474 now=473, filled was 2095 now=2111
drips=128 water was=473 now=472, filled was 2111 now=2116
drips=129 water was=472 now=471, filled was 2116 now=2121
drips=130 water was=471 now=470, filled was 2121 now=2126
drips=131 water was=470 now=469, filled was 2126 now=2131
drips=132 water was=469 now=468, filled was 2131 now=2136
drips=133 water was=468 now=467, filled was 2136 now=2141
drips=134 water was=467 now=466, filled was 2141 now=2146
drips=135 water was=466 now=465, filled was 2146 now=2151
drips=136 water was=465 now=464, filled was 2151 now=2156
drips=137 water was=464 now=463, filled was 2156 now=2161
drips=138 water was=463 now=462, filled was 2161 now=2166
drips=139 water was=462 now=468, filled was 2166 now=2166
drips=140 water was=468 now=499, filled was 2166 now=2166
drips=141 water was=499 now=498, filled was 2166 now=2182
drips=142 water was=498 now=497, filled was 2182 now=2198
drips=143 water was=497 now=496, filled was 2198 now=2214
drips=144 water was=496 now=495, filled was 2214 now=2219
drips=145 water was=495 now=494, filled was 2219 now=2224
drips=146 water was=494 now=493, filled was 2224 now=2229
drips=147 water was=493 now=492, filled was 2229 now=2234
drips=148 water was=492 now=491, filled was 2234 now=2239
drips=149 water was=491 now=490, filled was 2239 now=2244
drips=150 water was=490 now=489, filled was 2244 now=2249
drips=151 water was=489 now=495, filled was 2249 now=2249
drips=152 water was=495 now=523, filled was 2249 now=2249
drips=153 water was=523 now=522, filled was 2249 now=2267
drips=154 water was=522 now=521, filled was 2267 now=2285
drips=155 water was=521 now=520, filled was 2285 now=2303
drips=156 water was=520 now=519, filled was 2303 now=2321
drips=157 water was=519 now=518, filled was 2321 now=2339
drips=158 water was=518 now=517, filled was 2339 now=2357
drips=159 water was=517 now=516, filled was 2357 now=2375
drips=160 water was=516 now=515, filled was 2375 now=2393
drips=161 water was=515 now=514, filled was 2393 now=2411
drips=162 water was=514 now=513, filled was 2411 now=2429
drips=163 water was=513 now=532, filled was 2429 now=2429
drips=164 water was=532 now=563, filled was 2429 now=2429
drips=165 water was=563 now=562, filled was 2429 now=2449
drips=166 water was=562 now=561, filled was 2449 now=2469
drips=167 water was=561 now=560, filled was 2469 now=2480
drips=168 water was=560 now=559, filled was 2480 now=2491
drips=169 water was=559 now=558, filled was 2491 now=2502
drips=170 water was=558 now=557, filled was 2502 now=2513
drips=171 water was=557 now=556, filled was 2513 now=2524
drips=172 water was=556 now=555, filled was 2524 now=2535
drips=173 water was=555 now=569, filled was 2535 now=2535
drips=174 water was=569 now=575, filled was 2535 now=2535
drips=175 water was=575 now=574, filled was 2535 now=2541
drips=176 water was=574 now=573, filled was 2541 now=2547
drips=177 water was=573 now=572, filled was 2547 now=2553
drips=178 water was=572 now=571, filled was 2553 now=2559
drips=179 water was=571 now=570, filled was 2559 now=2565
drips=180 water was=570 now=569, filled was 2565 now=2571
drips=181 water was=569 now=554, filled was 2571 now=2591
drips=182 water was=554 now=553, filled was 2591 now=2611
drips=183 water was=553 now=552, filled was 2611 now=2631
drips=184 water was=552 now=551, filled was 2631 now=2651
drips=185 water was=551 now=550, filled was 2651 now=2671
drips=186 water was=550 now=549, filled was 2671 now=2691
drips=187 water was=549 now=572, filled was 2691 now=2691
drips=188 water was=572 now=664, filled was 2691 now=2691
drips=189 water was=664 now=662, filled was 2691 now=2745
drips=190 water was=662 now=660, filled was 2745 now=2799
drips=191 water was=660 now=658, filled was 2799 now=2853
drips=192 water was=658 now=656, filled was 2853 now=2907
drips=193 water was=656 now=654, filled was 2907 now=2948
drips=194 water was=654 now=652, filled was 2948 now=2989
drips=195 water was=652 now=650, filled was 2989 now=3030
drips=196 water was=650 now=683, filled was 3030 now=3045
drips=197 water was=683 now=685, filled was 3045 now=3060
drips=198 water was=685 now=683, filled was 3060 now=3080
drips=199 water was=683 now=681, filled was 3080 now=3100
drips=200 water was=681 now=698, filled was 3100 now=3105
drips=201 water was=698 now=735, filled was 3105 now=3144
drips=202 water was=735 now=732, filled was 3144 now=3184
drips=203 water was=732 now=729, filled was 3184 now=3224
drips=204 water was=729 now=726, filled was 3224 now=3264
drips=205 water was=726 now=766, filled was 3264 now=3265
drips=206 water was=766 now=848, filled was 3265 now=3266
drips=207 water was=848 now=845, filled was 3266 now=3353
drips=208 water was=845 now=847, filled was 3353 now=3439
drips=209 water was=847 now=861, filled was 3439 now=3525
drips=210 water was=861 now=857, filled was 3525 now=3611
drips=211 water was=857 now=853, filled was 3611 now=3694
drips=212 water was=853 now=849, filled was 3694 now=3777
drips=213 water was=849 now=845, filled was 3777 now=3860
drips=214 water was=845 now=841, filled was 3860 now=3943
drips=215 water was=841 now=837, filled was 3943 now=4026
drips=216 water was=837 now=833, filled was 4026 now=4109
drips=217 water was=833 now=829, filled was 4109 now=4192
drips=218 water was=829 now=822, filled was 4192 now=4278
drips=219 water was=822 now=896, filled was 4278 now=4291
drips=220 water was=896 now=967, filled was 4291 now=4291
drips=221 water was=967 now=988, filled was 4291 now=4382
drips=222 water was=988 now=986, filled was 4382 now=4473
drips=223 water was=986 now=984, filled was 4473 now=4564
drips=224 water was=984 now=982, filled was 4564 now=4597
drips=225 water was=982 now=980, filled was 4597 now=4630
drips=226 water was=980 now=978, filled was 4630 now=4663
drips=227 water was=978 now=976, filled was 4663 now=4754
drips=228 water was=976 now=974, filled was 4754 now=4845
drips=229 water was=974 now=972, filled was 4845 now=4936
drips=230 water was=972 now=970, filled was 4936 now=5027
drips=231 water was=970 now=1063, filled was 5027 now=5027
drips=232 water was=1063 now=1143, filled was 5027 now=5027
drips=233 water was=1143 now=1141, filled was 5027 now=5159
drips=234 water was=1141 now=1139, filled was 5159 now=5291
drips=235 water was=1139 now=1137, filled was 5291 now=5413
drips=236 water was=1137 now=1135, filled was 5413 now=5535
drips=237 water was=1135 now=1133, filled was 5535 now=5657
drips=238 water was=1133 now=1131, filled was 5657 now=5682
drips=239 water was=1131 now=1129, filled was 5682 now=5707
drips=240 water was=1129 now=1127, filled was 5707 now=5732
drips=241 water was=1127 now=1213, filled was 5732 now=5738
drips=242 water was=1213 now=1215, filled was 5738 now=5744
drips=243 water was=1215 now=1221, filled was 5744 now=5773
drips=244 water was=1221 now=1245, filled was 5773 now=5802
drips=245 water was=1245 now=1243, filled was 5802 now=5831
drips=246 water was=1243 now=1154, filled was 5831 now=5947
drips=247 water was=1154 now=1152, filled was 5947 now=6063
drips=248 water was=1152 now=1150, filled was 6063 now=6179
drips=249 water was=1150 now=1148, filled was 6179 now=6295
drips=250 water was=1148 now=1264, filled was 6295 now=6295
drips=251 water was=1264 now=1295, filled was 6295 now=6295
drips=252 water was=1295 now=1294, filled was 6295 now=6310
drips=253 water was=1294 now=1293, filled was 6310 now=6325
drips=254 water was=1293 now=1292, filled was 6325 now=6331
drips=255 water was=1292 now=1291, filled was 6331 now=6337
drips=256 water was=1291 now=1290, filled was 6337 now=6343
drips=257 water was=1290 now=1289, filled was 6343 now=6349
drips=258 water was=1289 now=1288, filled was 6349 now=6355
drips=259 water was=1288 now=1287, filled was 6355 now=6361
drips=260 water was=1287 now=1286, filled was 6361 now=6367
drips=261 water was=1286 now=1285, filled was 6367 now=6373
drips=262 water was=1285 now=1292, filled was 6373 now=6373
drips=263 water was=1292 now=1323, filled was 6373 now=6373
drips=264 water was=1323 now=1322, filled was 6373 now=6392
drips=265 water was=1322 now=1321, filled was 6392 now=6411
drips=266 water was=1321 now=1320, filled was 6411 now=6430
drips=267 water was=1320 now=1319, filled was 6430 now=6449
drips=268 water was=1319 now=1318, filled was 6449 now=6455
drips=269 water was=1318 now=1317, filled was 6455 now=6461
drips=270 water was=1317 now=1316, filled was 6461 now=6467
drips=271 water was=1316 now=1315, filled was 6467 now=6473
drips=272 water was=1315 now=1314, filled was 6473 now=6479
drips=273 water was=1314 now=1313, filled was 6479 now=6485
drips=274 water was=1313 now=1320, filled was 6485 now=6485
drips=275 water was=1320 now=1349, filled was 6485 now=6485
drips=276 water was=1349 now=1348, filled was 6485 now=6504
drips=277 water was=1348 now=1347, filled was 6504 now=6523
drips=278 water was=1347 now=1346, filled was 6523 now=6542
drips=279 water was=1346 now=1345, filled was 6542 now=6561
drips=280 water was=1345 now=1344, filled was 6561 now=6580
drips=281 water was=1344 now=1343, filled was 6580 now=6599
drips=282 water was=1343 now=1342, filled was 6599 now=6618
drips=283 water was=1342 now=1341, filled was 6618 now=6637
drips=284 water was=1341 now=1340, filled was 6637 now=6656
drips=285 water was=1340 now=1339, filled was 6656 now=6675
drips=286 water was=1339 now=1361, filled was 6675 now=6675
drips=287 water was=1361 now=1419, filled was 6675 now=6675
drips=288 water was=1419 now=1417, filled was 6675 now=6714
drips=289 water was=1417 now=1415, filled was 6714 now=6753
drips=290 water was=1415 now=1413, filled was 6753 now=6792
drips=291 water was=1413 now=1411, filled was 6792 now=6831
drips=292 water was=1411 now=1409, filled was 6831 now=6870
drips=293 water was=1409 now=1407, filled was 6870 now=6909
drips=294 water was=1407 now=1405, filled was 6909 now=6948
drips=295 water was=1405 now=1403, filled was 6948 now=6987
drips=296 water was=1403 now=1401, filled was 6987 now=7026
drips=297 water was=1401 now=1440, filled was 7026 now=7026
drips=298 water was=1440 now=1470, filled was 7026 now=7026
drips=299 water was=1470 now=1469, filled was 7026 now=7050
drips=300 water was=1469 now=1468, filled was 7050 now=7074
drips=301 water was=1468 now=1467, filled was 7074 now=7098
drips=302 water was=1467 now=1466, filled was 7098 now=7122
drips=303 water was=1466 now=1465, filled was 7122 now=7146
drips=304 water was=1465 now=1464, filled was 7146 now=7170
drips=305 water was=1464 now=1463, filled was 7170 now=7194
drips=306 water was=1463 now=1462, filled was 7194 now=7218
drips=307 water was=1462 now=1461, filled was 7218 now=7242
drips=308 water was=1461 now=1460, filled was 7242 now=7266
drips=309 water was=1460 now=1459, filled was 7266 now=7290
drips=310 water was=1459 now=1458, filled was 7290 now=7314
drips=311 water was=1458 now=1483, filled was 7314 now=7314
drips=312 water was=1483 now=1513, filled was 7314 now=7314
drips=313 water was=1513 now=1512, filled was 7314 now=7331
drips=314 water was=1512 now=1511, filled was 7331 now=7348
drips=315 water was=1511 now=1510, filled was 7348 now=7354
drips=316 water was=1510 now=1509, filled was 7354 now=7360
drips=317 water was=1509 now=1508, filled was 7360 now=7366
drips=318 water was=1508 now=1507, filled was 7366 now=7372
drips=319 water was=1507 now=1506, filled was 7372 now=7378
drips=320 water was=1506 now=1505, filled was 7378 now=7384
drips=321 water was=1505 now=1504, filled was 7384 now=7390
drips=322 water was=1504 now=1503, filled was 7390 now=7396
drips=323 water was=1503 now=1510, filled was 7396 now=7396
drips=324 water was=1510 now=1532, filled was 7396 now=7396
drips=325 water was=1532 now=1537, filled was 7396 now=7396
drips=326 water was=1537 now=1555, filled was 7396 now=7396
drips=327 water was=1555 now=1553, filled was 7396 now=7412
drips=328 water was=1553 now=1551, filled was 7412 now=7428
drips=329 water was=1551 now=1549, filled was 7428 now=7440
drips=330 water was=1549 now=1547, filled was 7440 now=7452
drips=331 water was=1547 now=1545, filled was 7452 now=7464
drips=332 water was=1545 now=1543, filled was 7464 now=7476
drips=333 water was=1543 now=1541, filled was 7476 now=7488
drips=334 water was=1541 now=1539, filled was 7488 now=7500
drips=335 water was=1539 now=1537, filled was 7500 now=7512
drips=336 water was=1537 now=1531, filled was 7512 now=7528
drips=337 water was=1531 now=1530, filled was 7528 now=7544
drips=338 water was=1530 now=1547, filled was 7544 now=7544
drips=339 water was=1547 now=1575, filled was 7544 now=7544
drips=340 water was=1575 now=1574, filled was 7544 now=7555
drips=341 water was=1574 now=1573, filled was 7555 now=7566
drips=342 water was=1573 now=1572, filled was 7566 now=7577
drips=343 water was=1572 now=1586, filled was 7577 now=7577
drips=344 water was=1586 now=1598, filled was 7577 now=7577
drips=345 water was=1598 now=1596, filled was 7577 now=7600
drips=346 water was=1596 now=1594, filled was 7600 now=7623
drips=347 water was=1594 now=1592, filled was 7623 now=7633
drips=348 water was=1592 now=1590, filled was 7633 now=7643
drips=349 water was=1590 now=1588, filled was 7643 now=7653
drips=350 water was=1588 now=1586, filled was 7653 now=7663
drips=351 water was=1586 now=1571, filled was 7663 now=7686
drips=352 water was=1571 now=1570, filled was 7686 now=7709
drips=353 water was=1570 now=1569, filled was 7709 now=7732
drips=354 water was=1569 now=1568, filled was 7732 now=7755
drips=355 water was=1568 now=1567, filled was 7755 now=7778
drips=356 water was=1567 now=1566, filled was 7778 now=7801
drips=357 water was=1566 now=1590, filled was 7801 now=7801
drips=358 water was=1590 now=1624, filled was 7801 now=7801
drips=359 water was=1624 now=1623, filled was 7801 now=7821
drips=360 water was=1623 now=1622, filled was 7821 now=7841
drips=361 water was=1622 now=1621, filled was 7841 now=7861
drips=362 water was=1621 now=1620, filled was 7861 now=7881
drips=363 water was=1620 now=1619, filled was 7881 now=7901
drips=364 water was=1619 now=1618, filled was 7901 now=7921
drips=365 water was=1618 now=1617, filled was 7921 now=7941
drips=366 water was=1617 now=1616, filled was 7941 now=7961
drips=367 water was=1616 now=1615, filled was 7961 now=7981
drips=368 water was=1615 now=1614, filled was 7981 now=8001
drips=369 water was=1614 now=1613, filled was 8001 now=8021
drips=370 water was=1613 now=1612, filled was 8021 now=8041
drips=371 water was=1612 now=1611, filled was 8041 now=8061
drips=372 water was=1611 now=1632, filled was 8061 now=8061
drips=373 water was=1632 now=1664, filled was 8061 now=8061
drips=374 water was=1664 now=1663, filled was 8061 now=8082
drips=375 water was=1663 now=1662, filled was 8082 now=8103
drips=376 water was=1662 now=1661, filled was 8103 now=8124
drips=377 water was=1661 now=1660, filled was 8124 now=8145
drips=378 water was=1660 now=1659, filled was 8145 now=8166
drips=379 water was=1659 now=1658, filled was 8166 now=8187
drips=380 water was=1658 now=1657, filled was 8187 now=8208
drips=381 water was=1657 now=1656, filled was 8208 now=8229
drips=382 water was=1656 now=1655, filled was 8229 now=8250
drips=383 water was=1655 now=1654, filled was 8250 now=8271
drips=384 water was=1654 now=1653, filled was 8271 now=8292
drips=385 water was=1653 now=1675, filled was 8292 now=8292
drips=386 water was=1675 now=1711, filled was 8292 now=8292
drips=387 water was=1711 now=1710, filled was 8292 now=8307
drips=388 water was=1710 now=1709, filled was 8307 now=8322
drips=389 water was=1709 now=1708, filled was 8322 now=8337
drips=390 water was=1708 now=1707, filled was 8337 now=8341
drips=391 water was=1707 now=1706, filled was 8341 now=8345
drips=392 water was=1706 now=1705, filled was 8345 now=8349
drips=393 water was=1705 now=1704, filled was 8349 now=8353
drips=394 water was=1704 now=1703, filled was 8353 now=8357
drips=395 water was=1703 now=1702, filled was 8357 now=8361
drips=396 water was=1702 now=1701, filled was 8361 now=8365
drips=397 water was=1701 now=1700, filled was 8365 now=8369
drips=398 water was=1700 now=1699, filled was 8369 now=8373
drips=399 water was=1699 now=1698, filled was 8373 now=8377
drips=400 water was=1698 now=1697, filled was 8377 now=8381
drips=401 water was=1697 now=1702, filled was 8381 now=8381
drips=402 water was=1702 now=1733, filled was 8381 now=8381
drips=403 water was=1733 now=1732, filled was 8381 now=8398
drips=404 water was=1732 now=1731, filled was 8398 now=8415
drips=405 water was=1731 now=1730, filled was 8415 now=8421
drips=406 water was=1730 now=1729, filled was 8421 now=8427
drips=407 water was=1729 now=1728, filled was 8427 now=8433
drips=408 water was=1728 now=1727, filled was 8433 now=8439
drips=409 water was=1727 now=1726, filled was 8439 now=8445
drips=410 water was=1726 now=1725, filled was 8445 now=8451
drips=411 water was=1725 now=1724, filled was 8451 now=8457
drips=412 water was=1724 now=1731, filled was 8457 now=8457
drips=413 water was=1731 now=1760, filled was 8457 now=8457
drips=414 water was=1760 now=1759, filled was 8457 now=8472
drips=415 water was=1759 now=1758, filled was 8472 now=8487
drips=416 water was=1758 now=1757, filled was 8487 now=8492
drips=417 water was=1757 now=1756, filled was 8492 now=8497
drips=418 water was=1756 now=1755, filled was 8497 now=8502
drips=419 water was=1755 now=1754, filled was 8502 now=8507
drips=420 water was=1754 now=1753, filled was 8507 now=8512
drips=421 water was=1753 now=1752, filled was 8512 now=8517
drips=422 water was=1752 now=1751, filled was 8517 now=8522
drips=423 water was=1751 now=1757, filled was 8522 now=8522
drips=424 water was=1757 now=1789, filled was 8522 now=8522
drips=425 water was=1789 now=1788, filled was 8522 now=8546
drips=426 water was=1788 now=1787, filled was 8546 now=8570
drips=427 water was=1787 now=1786, filled was 8570 now=8594
drips=428 water was=1786 now=1785, filled was 8594 now=8618
drips=429 water was=1785 now=1784, filled was 8618 now=8642
drips=430 water was=1784 now=1783, filled was 8642 now=8666
drips=431 water was=1783 now=1782, filled was 8666 now=8690
drips=432 water was=1782 now=1781, filled was 8690 now=8714
drips=433 water was=1781 now=1780, filled was 8714 now=8738
drips=434 water was=1780 now=1779, filled was 8738 now=8762
drips=435 water was=1779 now=1778, filled was 8762 now=8786
drips=436 water was=1778 now=1803, filled was 8786 now=8786
drips=437 water was=1803 now=1831, filled was 8786 now=8786
drips=438 water was=1831 now=1830, filled was 8786 now=8789
drips=439 water was=1830 now=1829, filled was 8789 now=8792
drips=440 water was=1829 now=1828, filled was 8792 now=8795
drips=441 water was=1828 now=1834, filled was 8795 now=8795
drips=442 water was=1834 now=1848, filled was 8795 now=8795
drips=443 water was=1848 now=1846, filled was 8795 now=8809
drips=444 water was=1846 now=1844, filled was 8809 now=8823
drips=445 water was=1844 now=1842, filled was 8823 now=8837
drips=446 water was=1842 now=1840, filled was 8837 now=8846
drips=447 water was=1840 now=1838, filled was 8846 now=8855
drips=448 water was=1838 now=1836, filled was 8855 now=8864
drips=449 water was=1836 now=1834, filled was 8864 now=8873
drips=450 water was=1834 now=1827, filled was 8873 now=8887
drips=451 water was=1827 now=1826, filled was 8887 now=8901
drips=452 water was=1826 now=1825, filled was 8901 now=8915
drips=453 water was=1825 now=1824, filled was 8915 now=8929
drips=454 water was=1824 now=1839, filled was 8929 now=8929
drips=455 water was=1839 now=1867, filled was 8929 now=8929
drips=456 water was=1867 now=1866, filled was 8929 now=8944
drips=457 water was=1866 now=1865, filled was 8944 now=8959
drips=458 water was=1865 now=1864, filled was 8959 now=8966
drips=459 water was=1864 now=1863, filled was 8966 now=8973
drips=460 water was=1863 now=1862, filled was 8973 now=8980
drips=461 water was=1862 now=1861, filled was 8980 now=8987
drips=462 water was=1861 now=1860, filled was 8987 now=8994
drips=463 water was=1860 now=1859, filled was 8994 now=9001
drips=464 water was=1859 now=1858, filled was 9001 now=9008
drips=465 water was=1858 now=1866, filled was 9008 now=9008
drips=466 water was=1866 now=1887, filled was 9008 now=9008
drips=467 water was=1887 now=1889, filled was 9008 now=9008
drips=468 water was=1889 now=1898, filled was 9008 now=9008
drips=469 water was=1898 now=1896, filled was 9008 now=9034
drips=470 water was=1896 now=1894, filled was 9034 now=9060
drips=471 water was=1894 now=1896, filled was 9060 now=9084
drips=472 water was=1896 now=1898, filled was 9084 now=9108
drips=473 water was=1898 now=1896, filled was 9108 now=9128
drips=474 water was=1896 now=1894, filled was 9128 now=9148
drips=475 water was=1894 now=1892, filled was 9148 now=9168
drips=476 water was=1892 now=1886, filled was 9168 now=9192
drips=477 water was=1886 now=1885, filled was 9192 now=9216
drips=478 water was=1885 now=1884, filled was 9216 now=9240
drips=479 water was=1884 now=1883, filled was 9240 now=9264
drips=480 water was=1883 now=1908, filled was 9264 now=9264
drips=481 water was=1908 now=1943, filled was 9264 now=9264
drips=482 water was=1943 now=1942, filled was 9264 now=9280
drips=483 water was=1942 now=1941, filled was 9280 now=9296
drips=484 water was=1941 now=1940, filled was 9296 now=9304
drips=485 water was=1940 now=1939, filled was 9304 now=9312
drips=486 water was=1939 now=1938, filled was 9312 now=9320
drips=487 water was=1938 now=1937, filled was 9320 now=9328
drips=488 water was=1937 now=1936, filled was 9328 now=9336
drips=489 water was=1936 now=1935, filled was 9336 now=9344
drips=490 water was=1935 now=1934, filled was 9344 now=9352
drips=491 water was=1934 now=1933, filled was 9352 now=9360
drips=492 water was=1933 now=1932, filled was 9360 now=9368
drips=493 water was=1932 now=1931, filled was 9368 now=9376
drips=494 water was=1931 now=1930, filled was 9376 now=9384
drips=495 water was=1930 now=1939, filled was 9384 now=9384
drips=496 water was=1939 now=1973, filled was 9384 now=9384
drips=497 water was=1973 now=1972, filled was 9384 now=9401
drips=498 water was=1972 now=1971, filled was 9401 now=9418
drips=499 water was=1971 now=1970, filled was 9418 now=9435
drips=500 water was=1970 now=1969, filled was 9435 now=9452
drips=501 water was=1969 now=1968, filled was 9452 now=9459
drips=502 water was=1968 now=1967, filled was 9459 now=9466
drips=503 water was=1967 now=1966, filled was 9466 now=9473
drips=504 water was=1966 now=1965, filled was 9473 now=9480
drips=505 water was=1965 now=1964, filled was 9480 now=9487
drips=506 water was=1964 now=1963, filled was 9487 now=9494
drips=507 water was=1963 now=1971, filled was 9494 now=9494
drips=508 water was=1971 now=2002, filled was 9494 now=9494
drips=509 water was=2002 now=2001, filled was 9494 now=9516
drips=510 water was=2001 now=2000, filled was 9516 now=9538
drips=511 water was=2000 now=1999, filled was 9538 now=9560
drips=512 water was=1999 now=1998, filled was 9560 now=9582
drips=513 water was=1998 now=1997, filled was 9582 now=9604
drips=514 water was=1997 now=1996, filled was 9604 now=9626
drips=515 water was=1996 now=1995, filled was 9626 now=9648
drips=516 water was=1995 now=1994, filled was 9648 now=9670
drips=517 water was=1994 now=1993, filled was 9670 now=9692
drips=518 water was=1993 now=1992, filled was 9692 now=9714
drips=519 water was=1992 now=2015, filled was 9714 now=9714
drips=520 water was=2015 now=2044, filled was 9714 now=9714
drips=521 water was=2044 now=2043, filled was 9714 now=9738
drips=522 water was=2043 now=2042, filled was 9738 now=9762
